"ID_REF"	"GSM710733"	"GSM710735"	"GSM710737"
"LINC01800"	4.4147456135167	4.15138701121947	4.20298619382203
"LINC01806"	4.88316866010592	5.40161441652357	5.14063983993336
"LINC01808"	3.52890796136078	3.23289670896781	3.10188465891398
"LINC01809"	3.45826350443377	3.19615522844306	3.77806092962689
"LINC01812"	3.894702639333	3.97184136392023	4.25973234868422
"LINC01815"	3.14660118436331	3.20637933532855	3.18877404040294
"LINC01816"	4.27286201718741	3.88935822863456	4.56803022570157
"LINC01821"	3.65803302187838	3.65223476457399	3.57262473622689
"LINC01824"	5.64357407686189	5.52002424923941	5.89738742791331
"LINC01828"	5.15616680286668	5.00457938340712	5.40502393780034
"LINC01831"	3.69379882572063	3.44639431360661	3.71376947454694
"LINC01833"	4.85521353250402	4.70178569000685	5.02377349357955
"LINC01834"	5.14156419234063	5.10321674361131	5.5390130873723
"LINC01838"	4.74561587689214	4.42594836428152	4.9982346528805
"LINC01842"	5.31487610999726	5.22705005924906	5.07315900444382
"LINC01843"	5.20814784259166	5.02022243825313	5.49007909141775
"LINC01844"	3.98585025812788	3.80747840361243	3.73868142595849
"LINC01845"	4.13106211395217	3.72227761068735	4.19381687992389
"LINC01847"	4.68805938609193	4.43284050011039	4.89265115664862
"LINC01852"	3.73038885725952	3.76163837719753	3.88805726357441
"LINC01854"	4.21840775714062	3.73597593205308	4.4489632655305
"LINC01857"	9.38106875021375	8.3829477067147	10.151031794253
"LINC01858"	3.51343883726057	3.3749931324218	3.53684554288876
"LINC01859"	4.3725048939088	4.29535541289527	4.20793653399977
"LINC01863"	4.19633600003293	4.04077506521974	4.66796251438345
"LINC01864"	3.93450684935096	3.39469000319373	3.93450684935096
"LINC01874"	4.9998835826362	4.45338130639373	4.95416497546203
"LINC01875"	6.32120798068878	6.29742480028229	6.95345307363128
"LINC01876"	4.00636150731403	4.0366696224663	4.0701258455473
"LINC01877"	3.76738287742888	3.75620902348677	3.83193058901706
"LINC01883"	3.24414384561612	3.63573332681757	4.09809279153916
"LINC01887"	4.32749879348402	4.94617980281456	4.53676436129042
"LINC01896"	4.80588479514464	4.50397867956233	4.51568296022353
"LINC01898"	5.11648198108319	5.12332959505151	5.34676042257172
"LINC01904"	3.76042819776447	3.53684554288876	4.06773141830622
"LINC01905"	4.93290809929058	4.67896265965923	4.80858988461853
"LINC01908"	6.23461598591762	4.97786432666328	4.58850658303193
"LINC01913"	5.0267795991637	5.08990718837941	5.49931998689496
"LINC01917"	3.27284890148049	3.13766729044024	3.16525436469727
"LINC01920"	4.40356107131475	4.09876934915137	4.3769938626467
"LINC01921"	4.83553811801639	4.746586406121	4.68097898809422
"LINC01922"	4.48980419426884	4.0739112438167	4.71775065460113
"LINC01924"	3.73597593205308	3.41185993326943	3.67312610074865
"LINC01926"	5.36462861821788	5.29137074111957	5.46620824334122
"LINC01927"	4.59342283161995	4.57412496936725	4.56392382137688
"LINC01931"	3.54790146334881	3.32127160201235	3.73153961299607
"LINC01933"	3.41152703350572	3.53632079438264	3.60111319167485
"LINC01934"	5.65991011895855	5.88740576576424	6.11332685874449
"LINC01936"	4.41887140076359	4.43717368584882	4.51677878290124
